BFS;Stadt;Jahr;Finanzvermögen;Verwaltungsvermögen;Fremdkapital;Eigenkapital
2701;Basel;2020;6001555;6589617;6622622;5968550
351;Bern;2020;2975044;1346906;3207449;1114501
6621;Genève;2020;3565046;1425743;2153169;2837619
5586;Lausanne;2020;930101;1099511;3256476;-1226863
230;Winterthur;2020;985489;2068270;2133479;920280
261;Zürich;2020;3804614;10061331;8070330;5795614
371;Biel/Bienne;2020;702444;584693;820385;466752
5192;Lugano;2020;426219;750226;1054852;121593
1061;Luzern;2020;909068;1301702;689313;1521457
3203;St. Gallen;2020;902959;598829;1283125;218664
4001;Aarau;2020;291156;451281;155153;587284
2762;Allschwil;2020;95940;116990;97533;115397
1701;Baar;2020;245041;48554;49304;244292
5002;Bellinzona;2020;197359;306027;455986;47400
53;Bülach;2020;177430;263516;154951;285995
2125;Bulle;2020;69364;116752;152579;33537
6608;Carouge (GE);2020;98123;219645;140890;176877
3901;Chur;2020;580391;263106;235593;607903
243;Dietikon;2020;163750;108165;135797;136118
191;Dübendorf;2020;188560;193607;113675;268491
1024;Emmen;2020;109126;185689;262049;32766
4566;Frauenfeld;2020;170999;139617;126827;183789
2196;Fribourg;2020;169875;266870;371665;65081
295;Horgen;2020;196390;107749;187799;116340
62;Kloten;2020;151916;142877;110651;184142
355;Köniz;2020;248750;208981;368399;89333
4671;Kreuzlingen;2020;98317;111179;59288;150209
1059;Kriens;2020;134230;273584;261825;145989
6421;La Chaux-de-Fonds;2020;273621;474513;491447;256687
6628;Lancy;2020;426631;281733;177168;531195
6136;Martigny;2020;195174;55163;212904;37432
6630;Meyrin;2020;139873;237968;73362;304479
5886;Montreux;2020;90049;83942;157300;16691
6458;Neuchâtel;2020;286055;532699;448410;370343
5724;Nyon;2020;107383;309954;345708;71629
66;Opfikon;2020;174660;208140;131520;251280
3340;Rapperswil-Jona;2020;252575;111766;141920;222422
5591;Renens (VD);2020;64379;97435;113337;48476
2703;Riehen;2020;247451;402354;193400;456405
2939;Schaffhausen;2020;406614;170501;206324;370791
6266;Sion;2020;207029;261383;263533;204880
942;Thun;2020;296140;148917;222470;222587
198;Uster;2020;265758;343009;237882;370886
6643;Vernier;2020;127281;198510;187595;138197
293;Wädenswil;2020;166887;124112;179392;111608
4045;Wettingen;2020;67253;337795;189836;215213
121;Wetzikon (ZH);2020;245982;304814;119955;430841
3427;Wil (SG);2020;128507;186458;160488;154478
5938;Yverdon-les-Bains;2020;105744;269573;360793;14524
1711;Zug;2020;440958;336659;149829;627787
131;Adliswil;2020;77330;156718;136880;97169
4401;Arbon;2020;70232;111972;124523;57681
4021;Baden;2020;183603;612500;223822;572280
2765;Binningen;2020;145478;26430;67103;104804
404;Burgdorf;2020;120633;107629;129886;98376
1702;Cham;2020;91108;132525;25283;198350
1301;Einsiedeln;2020;27954;67984;72865;23073
1322;Freienbach;2020;64286;24462;28840;59908
1630;Glarus Nord;2020;92104;95609;99232;88481
3443;Gossau (SG);2020;122379;133968;72195;184152
2546;Grenchen;2020;113117;61375;100000;74492
3001;Herisau;2020;52252;90040;110303;31989
296;Illnau-Effretikon;2020;79482;101032;72693;107821
329;Langenthal;2020;116280;86093;86924;115449
2829;Liestal;2020;55595;44782;65185;35192
5113;Locarno;2020;110614;97780;193617;14776
306;Lyss;2020;69331;79389;67737;80983
6153;Monthey;2020;86957;120285;147965;59277
5642;Morges;2020;83196;86034;132626;36604
2770;Muttenz;2020;122702;93571;114136;102137
2581;Olten;2020;86375;152502;113043;125834
6631;Onex;2020;36932;56909;38188;55653
363;Ostermundigen;2020;64180;66637;76081;54736
2831;Pratteln;2020;92074;46033;41053;97054
5590;Pully;2020;107435;125829;183415;49850
96;Regensdorf;2020;203750;145644;144715;204679
2773;Reinach (BL);2020;106182;68998;104609;70570
247;Schlieren;2020;156641;220902;195138;182405
1372;Schwyz;2020;34119;79432;106145;7406
6248;Sierre;2020;66777;150403;104063;113116
2601;Solothurn;2020;115736;87520;33952;169303
939;Steffisburg;2020;67562;42678;16183;94058
141;Thalwil;2020;104280;143675;87857;160098
5890;Vevey;2020;153868;91036;252186;-7282
199;Volketswil;2020;98070;93115;70533;120652
69;Wallisellen;2020;183475;143029;196966;129538
4082;Wohlen (AG);2020;75276;182350;87530;170096
2761;Aesch (BL);2020;28429;32500;32245;28684
2;Affoltern am Albis;2020;52037;75336;92791;34582
5401;Aigle;2020;62010;55048;107600;9458
3251;Altstätten;2020;36545;43140;53577;26108
4461;Amriswil;2020;68465;82684;114322;36826
1362;Arth;2020;16838;29373;37657;8554
52;Bassersdorf;2020;62056;95575;75901;81730
861;Belp;2020;48954;37037;33041;52950
2766;Birsfelden;2020;38040;46665;45361;39344
6002;Brig-Glis;2020;56634;10948;28620;38962
4095;Brugg;2020;138327;176833;34234;280926
3271;Buchs (SG);2020;70733;77974;75765;72942
5624;Bussigny;2020;38608;18844;27973;29479
6612;Chêne-Bougeries;2020;184554;52514;34481;202588
3851;Davos;2020;193568;170986;124576;239978
6711;Delémont;2020;55749;84396;125558;14587
1054;Ebikon;2020;64706;63989;97440;31256
5635;Ecublens (VD);2020;43411;72442;60200;55653
3402;Flawil;2020;36171;31233;28342;39063
5721;Gland;2020;30140;64974;79017;16097
1632;Glarus;2020;57891;40846;37641;61097
117;Hinwil;2020;65148;43663;45015;63796
1058;Horw;2020;153583;215471;131422;237632
362;Ittigen;2020;83316;39867;71508;51674
154;Küsnacht (ZH);2020;249853;280982;330544;200290
5889;La Tour-de-Peilz;2020;43881;38326;59350;22858
6623;Le Grand-Saconnex;2020;69631;87210;47284;109557
6436;Le Locle;2020;115364;187299;139715;162949
4201;Lenzburg;2020;60650;186848;46431;201067
155;Männedorf;2020;56479;155839;64800;147518
156;Meilen;2020;163830;189597;144652;208775
5254;Mendrisio;2020;109704;114678;190742;33639
4254;Möhlin;2020;54451;142490;52927;144015
546;Münchenbuchsee;2020;35201;37197;18893;53505
2769;Münchenstein;2020;122401;45658;96095;71964
616;Münsingen;2020;37461;35988;27850;45598
356;Muri bei Bern;2020;94292;41807;63287;72812
2937;Neuhausen am Rheinfall;2020;56208;70747;89998;36956
2771;Oberwil (BL);2020;49477;47033;30300;66210
4280;Oftringen;2020;48425;160143;74323;134245
5822;Payerne;2020;41767;35704;56030;21442
177;Pfäffikon;2020;57949;92553;40599;109903
6633;Plan-les-Ouates;2020;436867;138477;123304;452040
5589;Prilly;2020;37669;64626;95229;7066
4258;Rheinfelden;2020;128710;228362;34378;322695
138;Richterswil;2020;55500;65886;50198;71187
1707;Risch;2020;74591;27891;20811;81670
4436;Romanshorn;2020;62890;44188;78963;28115
118;Rüti (ZH);2020;63610;81528;47657;97481
1407;Sarnen;2020;40154;37856;15130;62881
768;Spiez;2020;58475;29854;31672;56657
4040;Spreitenbach;2020;41266;151282;44839;147710
158;Stäfa;2020;111012;194036;42442;262606
1708;Steinhausen;2020;92502;61644;36110;118037
4012;Suhr;2020;39939;163135;55182;147891
1103;Sursee;2020;72060;139394;95574;115880
6640;Thônex;2020;105037;136925;63832;178130
250;Urdorf;2020;54922;55509;51837;58595
3408;Uzwil;2020;66171;40340;51378;55134
6644;Versoix;2020;74373;61146;57233;78286
2228;Villars-sur-Glâne;2020;37327;74638;109171;2794
4946;Weinfelden;2020;38631;83912;73985;48559
627;Worb;2020;34483;34218;23492;45209
4289;Zofingen;2020;77041;222116;122327;176831
361;Zollikofen;2020;42548;25054;12808;54794
161;Zollikon;2020;139349;200046;108786;230609
1201;Altdorf (UR);2020;13014;23949;21784;15180
3101;Appenzell;2020;3563;2737;2241;4059
2763;Arlesheim;2020;51168;45300;46391;50077
3921;Arosa;2020;46698;81263;34446;93515
5250;Chiasso;2020;50728;64126;97132;17723
5583;Crissier;2020;37518;40879;33809;44588
581;Interlaken;2020;35499;40567;33317;42749
723;La Neuveville;2020;20848;18035;14394;24489
700;Moutier;2020;42388;28576;54045;16918
2275;Murten;2020;33650;80197;48570;65277
3215;Rorschach;2020;52482;121507;68258;105731
3787;St. Moritz;2020;100167;163977;17144;247000
1509;Stans;2020;22999;47031;29377;40653
6297;Visp;2020;39111;40332;52758;26685
6300;Zermatt;2020;58845;57062;25919;89988
2534;Zuchwil;2020;31289;40404;41252;30441
2701;Basel;2019;5385981;6482978;6834630;5034330
351;Bern;2019;2834624;1319383;3046311;1107695
6621;Genève;2019;3607535;1386909;2099578;2894867
5586;Lausanne;2019;874632;1112672;3199161;-1211857
230;Winterthur;2019;1029267;2064438;2202308;891397
261;Zürich;2019;3754924;9599951;7809946;5544929
371;Biel/Bienne;2019;697737;562695;796143;464290
5192;Lugano;2019;413082;744991;1038381;119692
1061;Luzern;2019;862491;1281054;638244;1505301
3203;St. Gallen;2019;797461;609292;1190073;216680
4001;Aarau;2019;278107;446624;158552;566179
2762;Allschwil;2019;98539;107569;100260;105848
1701;Baar;2019;210741;49896;21310;239326
5002;Bellinzona;2019;192000;286460;424402;54058
53;Bülach;2019;169140;246931;138236;277835
2125;Bulle;2019;76270;99012;146176;29106
6608;Carouge (GE);2019;97638;198420;119572;176486
3901;Chur;2019;561950;244847;214051;592747
243;Dietikon;2019;165544;101325;127706;139163
191;Dübendorf;2019;179169;184267;92194;271242
1024;Emmen;2019;114435;176995;268482;22948
4566;Frauenfeld;2019;162596;152812;112813;202595
